area,cases,date
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1306,2021-03-11
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6096,2021-03-11
CITY OF GOLETA,1693,2021-03-11
COMMUNITY OF ISLA VISTA,1248,2021-03-11
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1123,2021-03-11
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",968,2021-03-11
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3410,2021-03-11
FEDERAL PRISON IN LOMPOC,1088,2021-03-11
CITY OF SANTA MARIA,10961,2021-03-11
COMMUNITY OF ORCUTT,1718,2021-03-11
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1241,2021-03-11
Out of County,0,2021-03-11
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1302,2021-03-10
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6090,2021-03-10
CITY OF GOLETA,1691,2021-03-10
COMMUNITY OF ISLA VISTA,1247,2021-03-10
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1122,2021-03-10
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",966,2021-03-10
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3404,2021-03-10
FEDERAL PRISON IN LOMPOC,1088,2021-03-10
CITY OF SANTA MARIA,10942,2021-03-10
COMMUNITY OF ORCUTT,1716,2021-03-10
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1241,2021-03-10
Out of County,0,2021-03-10
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1300,2021-03-09
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6079,2021-03-09
CITY OF GOLETA,1688,2021-03-09
COMMUNITY OF ISLA VISTA,1245,2021-03-09
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1117,2021-03-09
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",965,2021-03-09
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3400,2021-03-09
FEDERAL PRISON IN LOMPOC,1088,2021-03-09
CITY OF SANTA MARIA,10933,2021-03-09
COMMUNITY OF ORCUTT,1712,2021-03-09
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1241,2021-03-09
Out of County,0,2021-03-09
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1296,2021-03-08
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6074,2021-03-08
CITY OF GOLETA,1687,2021-03-08
COMMUNITY OF ISLA VISTA,1245,2021-03-08
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1117,2021-03-08
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",964,2021-03-08
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3397,2021-03-08
FEDERAL PRISON IN LOMPOC,1088,2021-03-08
CITY OF SANTA MARIA,10923,2021-03-08
COMMUNITY OF ORCUTT,1712,2021-03-08
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1240,2021-03-08
Out of County,0,2021-03-08
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1294,2021-03-07
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6064,2021-03-07
CITY OF GOLETA,1686,2021-03-07
COMMUNITY OF ISLA VISTA,1243,2021-03-07
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1117,2021-03-07
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",962,2021-03-07
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3396,2021-03-07
FEDERAL PRISON IN LOMPOC,1088,2021-03-07
CITY OF SANTA MARIA,10880,2021-03-07
COMMUNITY OF ORCUTT,1704,2021-03-07
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1235,2021-03-07
Out of County,0,2021-03-07
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1293,2021-03-06
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6056,2021-03-06
CITY OF GOLETA,1679,2021-03-06
COMMUNITY OF ISLA VISTA,1241,2021-03-06
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1115,2021-03-06
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",959,2021-03-06
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3389,2021-03-06
FEDERAL PRISON IN LOMPOC,1088,2021-03-06
CITY OF SANTA MARIA,10865,2021-03-06
COMMUNITY OF ORCUTT,1704,2021-03-06
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1234,2021-03-06
Out of County,0,2021-03-06
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1293,2021-03-05
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6043,2021-03-05
CITY OF GOLETA,1674,2021-03-05
COMMUNITY OF ISLA VISTA,1234,2021-03-05
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1115,2021-03-05
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",959,2021-03-05
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3384,2021-03-05
FEDERAL PRISON IN LOMPOC,1088,2021-03-05
CITY OF SANTA MARIA,10861,2021-03-05
COMMUNITY OF ORCUTT,1702,2021-03-05
