area,cases,date
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",27,2020-05-29
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,92,2020-05-29
CITY OF GOLETA,15,2020-05-29
COMMUNITY OF ISLA VISTA,1,2020-05-29
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,17,2020-05-29
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",11,2020-05-29
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,106,2020-05-29
FEDERAL PRISON IN LOMPOC,971,2020-05-29
CITY OF SANTA MARIA,314,2020-05-29
COMMUNITY OF ORCUTT,45,2020-05-29
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",42,2020-05-29
Out of County,0,2020-05-29
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",27,2020-05-28
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,89,2020-05-28
CITY OF GOLETA,15,2020-05-28
COMMUNITY OF ISLA VISTA,1,2020-05-28
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,18,2020-05-28
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,2020-05-28
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,105,2020-05-28
FEDERAL PRISON IN LOMPOC,971,2020-05-28
CITY OF SANTA MARIA,306,2020-05-28
COMMUNITY OF ORCUTT,45,2020-05-28
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",41,2020-05-28
Out of County,0,2020-05-28
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",27,2020-05-27
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,88,2020-05-27
CITY OF GOLETA,15,2020-05-27
COMMUNITY OF ISLA VISTA,1,2020-05-27
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,18,2020-05-27
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,2020-05-27
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,105,2020-05-27
FEDERAL PRISON IN LOMPOC,971,2020-05-27
CITY OF SANTA MARIA,297,2020-05-27
COMMUNITY OF ORCUTT,44,2020-05-27
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",40,2020-05-27
Out of County,0,2020-05-27
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",27,2020-05-26
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,83,2020-05-26
CITY OF GOLETA,15,2020-05-26
COMMUNITY OF ISLA VISTA,1,2020-05-26
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,18,2020-05-26
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,2020-05-26
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,104,2020-05-26
FEDERAL PRISON IN LOMPOC,971,2020-05-26
CITY OF SANTA MARIA,285,2020-05-26
COMMUNITY OF ORCUTT,44,2020-05-26
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",39,2020-05-26
Out of County,0,2020-05-26
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",27,2020-05-22
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,79,2020-05-22
CITY OF GOLETA,11,2020-05-22
COMMUNITY OF ISLA VISTA,1,2020-05-22
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,17,2020-05-22
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,2020-05-22
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,102,2020-05-22
FEDERAL PRISON IN LOMPOC,971,2020-05-22
CITY OF SANTA MARIA,254,2020-05-22
COMMUNITY OF ORCUTT,41,2020-05-22
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",31,2020-05-22
Out of County,0,2020-05-22
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",27,2020-05-21
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,78,2020-05-21
CITY OF GOLETA,11,2020-05-21
COMMUNITY OF ISLA VISTA,1,2020-05-21
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,16,2020-05-21
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,2020-05-21
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,102,2020-05-21
FEDERAL PRISON IN LOMPOC,970,2020-05-21
CITY OF SANTA MARIA,247,2020-05-21
COMMUNITY OF ORCUTT,41,2020-05-21
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",30,2020-05-21
Out of County,0,2020-05-21
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",24,2020-05-20
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,77,2020-05-20
CITY OF GOLETA,11,2020-05-20
COMMUNITY OF ISLA VISTA,1,2020-05-20
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,16,2020-05-20
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,2020-05-20
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,102,2020-05-20
FEDERAL PRISON IN LOMPOC,970,2020-05-20
CITY OF SANTA MARIA,232,2020-05-20
COMMUNITY OF ORCUTT,41,2020-05-20
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",29,2020-05-20
Out of County,0,2020-05-20
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,2020-05-19
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,77,2020-05-19
CITY OF GOLETA,11,2020-05-19
COMMUNITY OF ISLA VISTA,1,2020-05-19
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,16,2020-05-19
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,2020-05-19
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,102,2020-05-19
FEDERAL PRISON IN LOMPOC,971,2020-05-19
CITY OF SANTA MARIA,229,2020-05-19
COMMUNITY OF ORCUTT,41,2020-05-19
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",28,2020-05-19
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,2020-05-18
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,76,2020-05-18
CITY OF GOLETA,11,2020-05-18
COMMUNITY OF ISLA VISTA,1,2020-05-18
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,16,2020-05-18
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,2020-05-18
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,102,2020-05-18
FEDERAL PRISON IN LOMPOC,963,2020-05-18
CITY OF SANTA MARIA,219,2020-05-18
COMMUNITY OF ORCUTT,41,2020-05-18
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",27,2020-05-18
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,2020-05-17
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,75,2020-05-17
CITY OF GOLETA,11,2020-05-17
COMMUNITY OF ISLA VISTA,1,2020-05-17
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,16,2020-05-17
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,2020-05-17
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,100,2020-05-17
FEDERAL PRISON IN LOMPOC,956,2020-05-17
CITY OF SANTA MARIA,210,2020-05-17
COMMUNITY OF ORCUTT,40,2020-05-17
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",26,2020-05-17
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,2020-05-16
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,74,2020-05-16
CITY OF GOLETA,11,2020-05-16
COMMUNITY OF ISLA VISTA,1,2020-05-16
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,16,2020-05-16
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",10,2020-05-16
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,100,2020-05-16
FEDERAL PRISON IN LOMPOC,903,2020-05-16
CITY OF SANTA MARIA,208,2020-05-16
COMMUNITY OF ORCUTT,40,2020-05-16
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",26,2020-05-16
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",23,2020-05-15
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,72,2020-05-15
CITY OF GOLETA,11,2020-05-15
COMMUNITY OF ISLA VISTA,1,2020-05-15
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,16,2020-05-15
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",8,2020-05-15
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,100,2020-05-15
FEDERAL PRISON IN LOMPOC,898,2020-05-15
CITY OF SANTA MARIA,201,2020-05-15
